01, 01, Pilot
01, 02, Big Flappy Bastards
01, 03, Go East on Sunset Until You Reach the Gates of Hell
01, 04, If I Can't Write My Chocolate Song, I'm Going to Take a Nap
01, 05, The Last Thing You Want to Do Is Wind Up with a Hump
01, 06, Did You Check With the Captain of the Flying Monkeys
01, 07, If They Do Go Either Way, They're Usually Fake
01, 08, Twenty-Five Little Pre-Pubers Without a Snootful
01, 09, Phase One, Complete
01, 10, Merry Thanksgiving
01, 11, Alan Harper, Frontier Chiropractor
01, 12, Camel Filters + Pheromones
01, 13, Sarah Like Puny Alan
01, 14, I Can't Afford Hyenas
01, 15, Round One to the Hot Crazy Chick
01, 16, That Was Saliva, Alan
01, 17, Ate the Hamburgers, Wearing the Hats
01, 18, An Old Flame With a New Wick
01, 19, I Remember the Coatroom, I Just Don't Remember You
01, 20, Hey, I Can Pee Outside in the Dark
01, 21, No Sniffing, No Wowing
01, 22, My Doctor Has a Cow Puppet
01, 23, Just Like Buffalo
01, 24, Can You Feel My Finger
02, 01, Back Off, Mary Poppins
02, 02, Enjoy Those Garlic Balls
02, 03, A Bag Full of Jawea
02, 04, Go Get Mommy's Bra
02, 05, Bad News from the Clinic
02, 06, The Price of Healthy Gums Is Eternal Vigilance
02, 07, A Kosher Slaughterhouse Out in Fontana
02, 08, Frankenstein and the Horny Villagers
02, 09, Yes, Monsignor
02, 10, The Salmon Under My Sweater
02, 11, Last Chance to See Those Tattoos
02, 12, A Lungful of Alan
02, 13, Zejdz Zmoich Wlosow (Get Off My Hair)
02, 14, Those Big Pink Things with Coconut
02, 15, Smell the Umbrella Stand
02, 16, Can You Eat Human Flesh with Wooden Teeth
02, 17, Woo-Hoo, a Hernia Exam!
02, 18, It Was 'Mame', Mom
02, 19, A Low, Guttural Tongue-Flapping Noise
02, 20, I Always Wanted a Shaved Monkey
02, 21, A Sympathetic Crotch to Cry On
02, 22, That Old Hose Bag Is My Mother
02, 23, Squab, Squab, Squab, Squab, Squab
02, 24, Does This Smell Funny to You
03, 01, Weekend In Bangkok with Two Olympic Gymnasts
